query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apakah harga menentukan kualitas produk pencerah?,0,0,0,,2,0,2,0.0,0.0,,5.0,,,0,0,0,2,stable,pricing,False
astaxanthin harga,0,0,0,,4,0,4,0.0,0.0,,3.0,,,0,0,0,8,stable,pricing,False
astaxanthin harga di apotek,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,pricing,False
asthin force 12 harga,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,pricing,False
bagaimana cara menghitung harga jual,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
balik modal,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,pricing,False
berapa biaya maklon parfum,0,0,0,,4,0,4,0.0,0.0,,13.2,,,0,0,0,4,stable,pricing,False
berapa harga parfum mykonos inception,0,0,0,,1,0,1,0.0,0.0,,5.0,,,0,0,0,1,stable,pricing,False
berapa harga pasaran nya,0,0,0,,1,0,1,0.0,0.0,,7.0,,,0,0,0,1,stable,pricing,False
berapa modal awal?,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,pricing,False
biaya berapa ?,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,pricing,False
biaya maklon,1,0,1,100,2,0,2,50.0,0.0,,20.5,,,1,0,1,2,growing,pricing,False
biaya maklon adalah,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,4,stable,pricing,False
biaya maklon kosmetik,0,0,0,,29,0,29,0.0,0.0,,21.0,,,0,0,0,273,stable,pricing,False
biaya maklon parfum,0,1,-1,-100.0,9,39,-30,1.92,2.56,-0.64,16.3,11.0,5.4,0,0,1,52,stable,pricing,False
biaya maklon skincare,0,0,0,,30,0,30,0.0,0.0,,15.8,,,0,0,0,30,stable,pricing,False
biaya membuat brand sendiri,0,0,0,,0,3,-3,0.0,0.0,,,9.3,,0,0,0,3,stable,pricing,False
biaya skincare,0,0,0,,0,2,-2,0.0,0.0,,,97.0,,0,0,0,21,stable,pricing,False
biaya y,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
bisnis kosmetik modal berapa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
bisnis kosmetik tanpa modal,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,pricing,False
buka toko kosmetik modal berapa,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
distributor kosmetik murah tangan pertama jakarta,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,pricing,False
fitur potong harga di tiktok,0,0,0,,1,0,1,0.0,0.0,,1.0,,,0,0,0,1,stable,pricing,False
glutawhite milky lotion harga,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
gluxanthin - c harga,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
hair vitamin murah indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,pricing,False
handbody citra harga,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
harga,0,0,0,,2,0,2,0.0,0.0,,19.5,,,0,0,0,2,stable,pricing,False
harga astaxanthin 12 mg di apotik,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,pricing,False
harga astaxanthin di apotik,0,0,0,,2,0,2,0.0,0.0,,3.5,,,0,0,0,3,stable,pricing,False
harga astaxanthin nutraglow,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
harga gluxantin c,0,0,0,,1,0,1,0.0,0.0,,6.0,,,0,0,0,1,stable,pricing,False
harga huruf timbul galvanis per cm,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,pricing,False
harga jasa maklon,0,0,0,,2,0,2,0.0,0.0,,11.0,,,0,0,0,29,stable,pricing,False
harga maklon parfum,1,0,1,100,3,16,-13,33.33,0.0,,12.7,10.2,2.4,0,0,1,19,stable,pricing,False
harga moisturizer gel viva,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,pricing,False
harga moisturizer viva gel,0,0,0,,2,0,2,0.0,0.0,,3.0,,,0,0,0,2,stable,pricing,False
harga skintific moisturizer,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,pricing,False
hb dosting harga,0,0,0,,0,2,-2,0.0,0.0,,,1.0,,0,0,0,2,stable,pricing,False
